MAC,Vendor,Country
10-E9-92,INGRAM MICRO SERVICES,FR
78-F2-76,Cyklop Fastjet Technologies (Shanghai) Inc.,CN
28-6F-B9,Nokia Shanghai Bell Co._ Ltd.,CN
E0-A1-29,Extreme Networks Headquarters,US
A8-C6-47,Extreme Networks Headquarters,US
A4-C7-F6,Extreme Networks Headquarters,US
F4-EA-B5,Extreme Networks Headquarters,US
B8-7C-F2,Extreme Networks Headquarters,US
88-7E-25,Extreme Networks Headquarters,US
B4-2D-56,Extreme Networks Headquarters,US
A4-73-AB,Extreme Networks Headquarters,US
0C-9B-78,Extreme Networks Headquarters,US
00-19-77,Extreme Networks Headquarters,US
08-EA-44,Extreme Networks Headquarters,US
90-75-DE,Zebra Technologies Inc.,US
80-BA-16,Micas Networks Inc.,US
B8-4C-87,IEEE Registration Authority,US
20-F8-3B,Nabu Casa_ Inc.,US
F0-1B-24,zte corporation,CN
E8-0A-B9,Cisco Systems_ Inc,US
78-46-5F,Fiberhome Telecommunication Technologies Co._LTD,CN
38-E2-CA,Katun Corporation,US
E4-C7-67,Intel Corporate,MY
B0-5B-99,Sagemcom Broadband SAS,FR
9C-E3-30,Cisco Meraki,US
04-A9-59,New H3C Technologies Co._ Ltd,CN
0C-B9-83,Honor Device Co._ Ltd.,CN
2C-B3-01,Honor Device Co._ Ltd.,CN
E4-F1-4C,Private,10061C  (base 16)Espressif Inc.
10-06-1C,Espressif Inc.,CN
DC-7C-F7,China Mobile Group Device Co._Ltd.,CN
90-6C-4B,Advance Security Electronics,US
50-E4-78,Sichuan AI-Link Technology Co._ Ltd.,CN
6C-FB-ED,GN Audio A/S,DK
E4-F2-7C,Juniper Networks,US
DC-D1-60,Tianjin Changdatong Technology Co._LTD,CN
64-4E-D7,HP Inc.,US
E0-06-30,HUAWEI TECHNOLOGIES CO._LTD,CN
00-0E-72,Arca Technologies S.r.l.,IT
E0-C2-B7,Masimo Corporation,US
04-D1-68,Sunplus Technology Co._ Ltd.,TW
64-4C-69,CONPROVE,BR
90-2D-77,Edgecore Americas Networking Corporation,US
C8-8B-E8,Masimo Corporation,US
D4-8A-FC,Espressif Inc.,CN
E4-65-B8,Espressif Inc.,CN
E0-01-C7,Hui Zhou Gaoshengda Technology Co._LTD,CN
B4-DF-91,Cisco Meraki,US
A8-81-FE,Luxul Tech Co._ Ltd,CN
64-9A-08,Shenzhen SuperElectron Technology Co._Ltd.,CN
90-C7-10,zte corporation,CN
98-EE-8C,zte corporation,CN
48-DA-35,IEEE Registration Authority,US
48-D4-75,Lampuga GmbH,DE
60-1A-C7,Nintendo Co._Ltd,JP
50-F2-22,EM Microelectronic,CH
FC-50-0C,Sitehop Ltd,GB
CC-EB-5E,Xiaomi Communications Co Ltd,CN
60-C7-8D,Juniper Networks,US
DC-51-93,zte corporation,CN
BC-FD-0C,Shenzhen Phaten Tech. LTD,CN
18-65-C7,Dongguan YIMO Technology Co.LTD,CN
30-7A-57,Accuenergy (CANADA) Inc,CA
74-78-A6,Fortinet_ Inc.,US
00-19-82,SmarDTV Corporation,CH
50-FE-0C,AzureWave Technology Inc.,TW
AC-D7-5B,Sagemcom Broadband SAS,FR
B4-C2-E0,Bouffalo Lab (Nanjing) Co._ Ltd.,CN
4/9/86,Arcadyan Corporation,TW
0C-01-C8,DENSO Co._Ltd,JP
F4-2E-48,zte corporation,CN
F8-D2-AC,Vantiva USA LLC,US
CC-F3-C8,Vantiva USA LLC,US
60-FD-A6,Apple_ Inc.,US
80-A9-97,Apple_ Inc.,US
34-8C-5E,Apple_ Inc.,US
F0-EE-7A,Apple_ Inc.,US
20-3A-EB,zte corporation,CN
58-76-B3,Ubee Interactive Co._ Limited,HK
E8-70-72,Hangzhou BroadLink Technology Co._Ltd,CN
40-F3-B0,Texas Instruments,US
14-9C-EF,Texas Instruments,US
14-98-7D,Vantiva USA LLC,US
58-23-8C,Vantiva USA LLC,US
80-B2-34,Vantiva USA LLC,US
84-17-EF,Vantiva USA LLC,US
A4-56-CC,Vantiva USA LLC,US
70-03-7E,Vantiva USA LLC,US
44-1C-12,Vantiva USA LLC,US
48-1B-A4,Cisco Systems_ Inc,US
58-AD-12,Apple_ Inc.,US
80-C4-1B,Texas Instruments,US
34-68-B5,Texas Instruments,US
D0-B2-C4,Vantiva USA LLC,US
80-C6-AB,Vantiva USA LLC,US
CC-03-FA,Vantiva USA LLC,US
48-F7-C0,Vantiva USA LLC,US
48-00-33,Vantiva USA LLC,US
5C-76-95,Vantiva USA LLC,US
38-3F-B3,Vantiva USA LLC,US
64-12-36,Vantiva USA LLC,US
AC-4C-A5,Vantiva USA LLC,US
00-CB-7A,Vantiva USA LLC,US
B8-A7-5E,Wuxi Xinjie Electric Co._Ltd,CN
8C-53-E6,Wistron Neweb Corporation,TW
D8-77-66,Nurivoice Co._ Ltd,KR
70-81-85,New H3C Technologies Co._ Ltd,CN
0C-75-D2,Hangzhou Hikvision Digital Technology Co._Ltd.,CN
D8-DA-F1,HUAWEI TECHNOLOGIES CO._LTD,CN
54-44-3B,HUAWEI TECHNOLOGIES CO._LTD,CN
5C-70-75,HUAWEI TECHNOLOGIES CO._LTD,CN
8C-3B-4A,Universal Global Scientific Industrial Co._ Ltd.,TW
50-D3-3B,cloudnineinfo,CN
84-C8-A0,Hui Zhou Gaoshengda Technology Co._LTD,CN
58-C4-1E,IEEE Registration Authority,US
08-F0-1E,eero inc.,US
18-A5-FF,Arcadyan Corporation,TW
8C-1A-F3,Shenzhen Gooxi Information Security CO._Ltd.,CN
F4-B6-C6,Indra Heera Technology LLP,IN
A0-02-A5,Intel Corporate,MY
8C-D5-4A,TAIYO YUDEN CO._LTD,JP
