Version, LTS,support, releaseLabel
10.0.22631,False,2026-11-10,11 23H2 (E)
10.0.22631,False,2025-11-11,11 23H2 (W)
10.0.19045,False,2025-10-14,10 22H2
10.0.22621,False,2025-10-14,11 22H2 (E)
10.0.22621,False,2024-10-08,11 22H2 (W)
10.0.19044,True,2027-01-12,10 21H2 IoT
10.0.19044,True,2027-01-12,10 21H2 (E)
10.0.19044,False,2024-06-11,10 21H2 (E)
10.0.19044,False,2023-06-13,10 21H2 (W)
10.0.22000,False,2024-10-08,11 21H2 (E)
10.0.22000,False,2023-10-10,11 21H2 (W)
10.0.19043,False,2022-12-13,10 21H1
10.0.19042,False,2023-05-09,10 20H2 (E)
10.0.19042,False,2022-05-10,10 20H2 (W)
10.0.19041,False,2021-12-14,10 2004
10.0.18363,False,2022-05-10,10 1909 (E)
10.0.18363,False,2021-05-11,10 1909 (W)
10.0.18362,False,2020-12-08,10 1903
10.0.17763,True,2024-01-09,10 1809 (E)
10.0.17763,False,2021-05-11,10 1809 (E)
10.0.17763,False,2020-11-10,10 1809 (W)
10.0.17134,False,2020-05-11,10 1803 (E)
10.0.17134,False,2019-11-12,10 1803 (W)
10.0.16299,False,2020-10-13,10 1709 (E)
10.0.16299,False,2019-04-09,10 1709 (W)
10.0.15063,False,2019-10-08,10 1703 (E)
10.0.15063,False,2018-10-09,10 1703 (W)
10.0.14393,True,2021-10-12,10 1607 (E)
10.0.14393,False,2019-04-09,10 1607 (E)
10.0.14393,False,2018-04-10,10 1607 (W)
10.0.10586,False,2017-10-10,10 1511
10.0.10240,True,2020-10-13,10 1507 (E)
10.0.10240,False,2017-05-09,10 1507
6.3.9600,False,2018-01-09,8.1
6.2.9200,False,2016-01-12,8
6.1.7601,False,2015-01-13,7 SP1
6.0.6200,False,2012-04-10,Vista SP2
5.1.2600,False,2009-04-14,XP SP3
